,PLAT,NET,NAME,REPTYPE,LAT,LON,CLIMATE SUMMARY,AVAILABILITY,STATION OPS,OP MODE,TYPE,MOVING
119,ORTL,ICAO,ALI BASE,METAR,30.935758,46.090111,LIMCLIM,NEW SITE,PART TIME,UNKNOWN,SFC_OBS,1
120,LEAL,ICAO,ALICANTE,METAR,38.282169,-0.558156,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
121,KALI,ICAO,ALICE INTL,METAR,27.740889000000003,-98.026944,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
122,YBAS,ICAO,ALICE SPRINGS,METAR,-23.806667,133.902222,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
123,OPLA,ICAO,ALLAMA IQBAL INTL,METAR,31.521564,74.403594,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
124,KAGC,ICAO,ALLEGHENY CO,METAR,40.354443,-79.930275,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
125,PABI,ICAO,ALLEN AAF / FT GREELEY ALASKA USA,METAR,63.994547,-145.721642,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
126,KBKT,ICAO,ALLEN C PERKINSON BLACKSTONE AAF / FT PICKETT VIRGINIA USA,METAR,37.074194,-77.957528,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
127,KK88,ICAO,ALLEN CO,METAR,37.870083,-95.386389,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
128,KACP,ICAO,ALLEN PARISH,METAR,30.750556,-92.688611,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
129,KAQX,ICAO,ALLENDALE COUNTY AIRPORT,METAR,32.995111,-81.27024899999999,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
130,KXLL,ICAO,ALLENTOWN/QUEEN,METAR,40.566666600000005,-75.4833333,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
131,EDJA,ICAO,ALLGAU,METAR,47.988758,10.2395,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
132,KAIA,ICAO,ALLIANCE MUNI,METAR,42.053222,-102.803778,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
